"Ноутбук Acer Aspire A3 Intel Core i3-1005G1 (1.20-3.40GHz), 8GB DDR4, 256GB SSD m.2 NVMe, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, LAN, DOS, голубой [NX.KAFEM.004](*id 12)https://www.link.kg/catalog/1/",29889.3 ⊆,331 $
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAYhttps://www.link.kg/catalog/1/",28083.3 ⊆,311 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 512GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/",31153.5 ⊆,345 $
"HP Probook 450 G8 Intel Core i3-1125G4 (4ядра, 8потоков, up to 3.7Ghz), 16GB, 512GB M.2 NVMe PCIe, Intel UHD Graphics 620, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rushttps://www.link.kg/catalog/1/",64564.5 ⊆,715 $
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAYhttps://www.link.kg/catalog/1/",26999.7 ⊆,299 $
Second Caddy HDD вместо DVD для ноутбуков 9.5mm SATAhttps://www.link.kg/catalog/1/41200202,451.5 ⊆ ,5 $
Notebook Memory DDR4 SODIMM 16GB [CB16GS2666] Crucial 2666Mhz (PC4-21300) CL19 SR x8 Unbuffered(*idhttps://www.link.kg/catalog/1/41508026,3882.9 ⊆ ,43 $
"Mini PC SHARE w, o 1200LGA 2xSODIMM DDR4 2666Hz, 1xMPCIE (128-1TB M.2), WiFi, Bluetooth, VGA, HDMI, 4xUSB, LAN, Audio [FXH510](*id 12)https://www.link.kg/catalog/1/41505968",17247.3 ⊆ ,191 $
"Mini PC SHARE w, o 1700LGA, 2xSODIMM DDR4 2666Hz, 1xMPCIE (128-1TB M.2), WiFi, Bluetooth, VGA, HDMI, 4xUSB, LAN, Audio [FXH610](*id 12)https://www.link.kg/catalog/1/41505969",18240.6 ⊆ ,202 $
"Ноутбук Lenovo V14-82C2 Intel N4020 1.1-2.8GHz,4GB,1TB,14""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Enghttps://www.link.kg/catalog/1/41483617",20769 ⊆ ,230 $
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAYhttps://www.link.kg/catalog/1/41503213",19595.1 ⊆ ,217 $
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 256GB,15.6""HD,RUS,DOS HDMI, IRON GRAYhttps://www.link.kg/catalog/1/41503217",20046.6 ⊆ ,222 $
